,DateTime,Thermocouple Temperature (C),Sensor Temp (Hz),Sensor Moist (Hz)
12850,2017-10-05 14:04:58.301388,24.5,5181.35,13513.0
12851,2017-10-05 14:04:59.341177,24.75,5319.15,13513.0
12852,2017-10-05 14:05:00.380698,25.0,5181.35,13513.0
12853,2017-10-05 14:05:01.420286,24.75,5263.16,13888.0
12854,2017-10-05 14:05:02.443758,25.0,5405.41,13513.0
12855,2017-10-05 14:05:03.483223,25.25,5102.04,13513.0
12856,2017-10-05 14:05:04.523034,25.0,5102.04,13513.0
12857,2017-10-05 14:05:05.562308,24.25,5263.16,13698.0
12858,2017-10-05 14:05:06.602247,24.5,5263.16,13698.0
12859,2017-10-05 14:05:07.625819,25.25,5076.14,13513.0
12860,2017-10-05 14:05:08.665193,25.0,5263.16,13513.0
12861,2017-10-05 14:05:09.704640,25.0,5263.16,13513.0
12862,2017-10-05 14:05:10.744398,24.75,5263.16,13513.0
12863,2017-10-05 14:05:11.768007,24.75,5102.04,13513.0
12864,2017-10-05 14:05:12.807658,24.5,5434.78,13698.0
12865,2017-10-05 14:05:13.846784,24.5,5154.64,13513.0
12866,2017-10-05 14:05:14.886476,25.0,5347.59,13698.0
12867,2017-10-05 14:05:15.926194,24.5,5128.21,13513.0
12868,2017-10-05 14:05:16.949823,24.5,5263.16,13698.0
12869,2017-10-05 14:05:17.989264,24.75,5319.15,13698.0
12870,2017-10-05 14:05:19.028903,24.5,5263.16,13513.0
12871,2017-10-05 14:05:20.068492,24.5,5235.6,13513.0
12872,2017-10-05 14:05:21.092164,25.0,5235.6,13513.0
12873,2017-10-05 14:05:22.131395,24.5,5076.14,13513.0
12874,2017-10-05 14:05:23.171213,24.5,5263.16,13513.0
12875,2017-10-05 14:05:24.210870,24.5,5263.16,13513.0
12876,2017-10-05 14:05:25.250277,25.0,5263.16,13513.0
12877,2017-10-05 14:05:26.273755,24.5,5050.5,13333.0
12878,2017-10-05 14:05:27.313444,24.75,5376.34,13513.0
12879,2017-10-05 14:05:28.352927,24.5,5076.14,13513.0
12880,2017-10-05 14:05:29.392562,25.0,5319.15,13333.0
12881,2017-10-05 14:05:30.416354,25.0,5376.34,13698.0
12882,2017-10-05 14:05:31.456024,24.75,5050.5,13513.0
12883,2017-10-05 14:05:32.495684,25.0,5405.41,13513.0
12884,2017-10-05 14:05:33.535013,25.0,5263.16,13513.0
12885,2017-10-05 14:05:34.574739,24.75,5263.16,13698.0
12886,2017-10-05 14:05:35.598232,24.75,5181.35,13513.0
12887,2017-10-05 14:05:36.637719,24.5,5154.64,13698.0
12888,2017-10-05 14:05:37.677428,25.0,5263.16,13513.0
12889,2017-10-05 14:05:38.716798,25.0,5263.16,13513.0
12890,2017-10-05 14:05:39.740445,24.75,5263.16,13513.0
12891,2017-10-05 14:05:40.780251,25.0,5181.35,13513.0
12892,2017-10-05 14:05:41.819843,25.0,5263.16,13513.0
12893,2017-10-05 14:05:42.859251,24.75,5263.16,13513.0
12894,2017-10-05 14:05:43.898946,25.0,5291.01,13333.0
12895,2017-10-05 14:05:44.922256,25.0,5291.01,13698.0
12896,2017-10-05 14:05:45.961869,24.5,5319.15,13698.0
12897,2017-10-05 14:05:47.001709,24.75,5128.21,13513.0
12898,2017-10-05 14:05:48.040912,24.5,5263.16,13513.0
12899,2017-10-05 14:05:49.064829,24.5,5494.51,13698.0
12900,2017-10-05 14:05:50.104417,24.25,5181.35,13698.0
12901,2017-10-05 14:05:51.143861,24.75,5319.15,13513.0
12902,2017-10-05 14:05:52.183359,25.0,5208.33,13513.0
12903,2017-10-05 14:05:53.222877,25.0,5405.41,13513.0
12904,2017-10-05 14:05:54.246497,25.0,5405.41,13513.0
12905,2017-10-05 14:05:55.286320,24.5,5181.35,13698.0
12906,2017-10-05 14:05:56.325562,24.5,5376.34,13698.0
12907,2017-10-05 14:05:57.365288,25.0,5263.16,13513.0
12908,2017-10-05 14:05:58.389098,25.0,5263.16,13513.0
12909,2017-10-05 14:05:59.428634,25.0,5263.16,13698.0
12910,2017-10-05 14:06:00.468333,24.75,5464.48,13698.0
12911,2017-10-05 14:06:01.507716,24.75,5434.78,13513.0
12912,2017-10-05 14:06:02.547183,24.5,5263.16,13698.0
12913,2017-10-05 14:06:03.570748,24.5,5181.35,13513.0
12914,2017-10-05 14:06:04.610750,25.0,5263.16,13698.0
12915,2017-10-05 14:06:05.650176,24.5,5263.16,13513.0
12916,2017-10-05 14:06:06.689419,25.0,5181.35,13698.0
12917,2017-10-05 14:06:07.712983,24.0,5376.34,13513.0
12918,2017-10-05 14:06:08.752621,24.75,5263.16,13513.0
12919,2017-10-05 14:06:09.792244,24.5,5434.78,13333.0
12920,2017-10-05 14:06:10.832094,24.5,5263.16,13513.0
12921,2017-10-05 14:06:11.871508,25.25,5376.34,13513.0
12922,2017-10-05 14:06:12.894990,24.75,5263.16,13513.0
12923,2017-10-05 14:06:13.934756,25.0,5154.64,13513.0
12924,2017-10-05 14:06:14.974186,24.25,5263.16,13333.0
12925,2017-10-05 14:06:16.013783,24.75,5181.35,13513.0
12926,2017-10-05 14:06:17.037424,24.5,5494.51,13698.0
12927,2017-10-05 14:06:18.077210,24.75,5154.64,13513.0
12928,2017-10-05 14:06:19.116796,25.0,5434.78,13513.0
12929,2017-10-05 14:06:20.156402,24.75,5263.16,13698.0
12930,2017-10-05 14:06:21.195963,24.75,5263.16,13513.0
12931,2017-10-05 14:06:22.219562,24.5,5263.16,13698.0
12932,2017-10-05 14:06:23.259022,24.75,5263.16,13513.0
12933,2017-10-05 14:06:24.298430,24.75,5181.35,13513.0
12934,2017-10-05 14:06:25.338234,25.0,5263.16,13513.0
12935,2017-10-05 14:06:26.361929,24.75,5376.34,13513.0
12936,2017-10-05 14:06:27.401194,24.75,5102.04,13513.0
12937,2017-10-05 14:06:28.440719,25.0,5208.33,13698.0
12938,2017-10-05 14:06:29.480490,24.5,5263.16,13698.0
12939,2017-10-05 14:06:30.520165,25.0,5291.01,12987.0
12940,2017-10-05 14:06:31.543523,25.0,5263.16,13333.0
12941,2017-10-05 14:06:32.583029,24.0,5434.78,13513.0
12942,2017-10-05 14:06:33.622856,25.0,5586.59,13513.0
12943,2017-10-05 14:06:34.662252,25.0,5319.15,13698.0
12944,2017-10-05 14:06:35.701670,24.5,5181.35,13333.0
12945,2017-10-05 14:06:36.725321,24.25,5434.78,13513.0
12946,2017-10-05 14:06:37.765216,25.0,5376.34,14925.0
12947,2017-10-05 14:06:38.804386,24.5,5263.16,13513.0
